Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label,SATD_predictor
TODO: handle agnostic mode and positive\/negative class weights,Yes,No,y,>SATD
TODO: revisit whether to always use batch size as  the number of,Yes,No,y,>SATD
TODO: Load variables selectively using scopes.,Yes,No,y,>SATD
TODO: Figure out if it is needed when image batch size is bigger.,Yes,Yes,y,>SATD
TODO: double check documentaion.,Yes,No,y,>SATD
TODO: Make this a public function.,Yes,No,y,>SATD
TODO: Consider replacing with tf.contrib.filter_variables in,Yes,Yes,y,>SATD
better than zeros,No,No,n,>SATD
that ends in NaNs.  If it's too large; it's useless; if it's too small;,Yes,No,y,>Not SATD
non-zero entries in columns,No,Yes,y,>Not SATD
TODO(jamesqin): Replace with fix in b\/62239022,Yes,Yes,y,>SATD
perhaps not the best way to do this,Yes,Yes,y,>SATD
TODO,Yes,Yes,n,>SATD
TODO: do this better,Yes,No,y,>SATD
TODO: need a better way,Yes,No,y,>SATD
TODO,Yes,Yes,n,>SATD
fix standard deviations to variable,No,No,y,>SATD
TODO: bonus weight?,Yes,Yes,y,>SATD
unused arg,Yes,No,y,>Not SATD
Unused.,Yes,Yes,y,>Not SATD
Unused.,Yes,Yes,y,>Not SATD
Unused,Yes,No,y,>Not SATD
Unused,Yes,No,y,>Not SATD
Unused,Yes,No,y,>Not SATD
using a configurable metric.                                         #,No,Yes,y,>Not SATD
unused arg,Yes,No,y,>Not SATD
TODO: Support batch tf example inputs.,Yes,No,y,>SATD
TODO: Load variables selectively using scopes.,Yes,No,y,>SATD
unused arg,Yes,No,y,>Not SATD
unused arg,Yes,No,y,>Not SATD
Unused.,Yes,Yes,y,>Not SATD
although token_prob is not needed for predicting the next token,No,Yes,y,>Not SATD
it is needed in output (for policy gradient training),No,No,n,>Not SATD
If needed; prepare a record writer to store the postprocessed embeddings.,No,Yes,y,>Not SATD
Ideally this info should be exposed through the dataset interface itself.,Yes,Yes,y,>SATD
simple hack to overcome this issue; we only exclude bbox labels,Yes,Yes,y,>SATD
TODO(b\/64848083) Remove once uid bug is fixed,Yes,No,y,>SATD
Check out this hack: we want to be able to compute the gradient,Yes,No,y,>SATD
Global state is unused in the basic case; just pass it through.,Yes,Yes,y,>Not SATD
unused,Yes,No,y,>Not SATD
itself depend on some problem variables. This would produce,No,No,n,>SATD
hack due to the broken Session.reset().,Yes,Yes,y,>SATD
ends up assigned to after the first iteration.,No,No,n,>Not SATD
Initialize params such that the columns of theta_a and theta_b have L2,No,No,n,>Not SATD
TODO(SS): Fix hack from when I created filename XML before converting,Yes,Yes,y,>SATD
TODO: make this work with pascal_converter,Yes,Yes,y,>SATD
"\""\""\"" || Ingestor for KITTI formats. ||  || http:\/\/www.cvlibs.net\/datasets\/kitti\/eval_object.php ||  || Per devkit docs: ||  || All values (numerical or strings) are separated via spaces; || each row corresponds to one object. The 15 columns represent: ||  || #Values    Name      Description || ---------------------------------------------------------------------------- ||    1    type         Describes the type of object: 'Car'; 'Van'; 'Truck'; ||                      'Pedestrian'; 'Person_sitting'; 'Cyclist'; 'Tram'; ||                      'Misc' or 'DontCare' ||    1    truncated    Float from 0 (non-truncated) to 1 (truncated); where ||                      truncated refers to the object leaving image boundaries ||    1    occluded     Integer (0;1;2;3) indicating occlusion state: ||                      0 = fully visible; 1 = partly occluded ||                      2 = largely occluded; 3 = unknown ||    1    alpha        Observation angle of object; ranging [-pi..pi] ||    4    bbox         2D bounding box of object in the image (0-based index): ||                      contains left; top; right; bottom pixel coordinates ||    3    dimensions   3D object dimensions: height; width; length (in meters) ||    3    location     3D object location x;y;z in camera coordinates (in meters) ||    1    rotation_y   Rotation ry around Y-axis in camera coordinates [-pi..pi] ||    1    score        Only for results: Float; indicating confidence in ||                      detection; needed for p\/r curves; higher is better. ||  ||  || \""\""\""",No,Yes,n,>SATD
TODO(SS): fix this!,Yes,Yes,y,>SATD
pad them if needed,No,Yes,y,>Not SATD
pad them if needed,No,Yes,y,>Not SATD
pad them if needed,No,Yes,y,>Not SATD
pad them if needed,No,Yes,y,>Not SATD
pad them if needed,No,Yes,y,>Not SATD
pad them if needed,No,Yes,y,>Not SATD
HACK. PyTorch is changing behavior,Yes,No,y,>SATD
HACK. PyTorch is changing behavior,Yes,No,y,>SATD
TODO: update notes\/cuda.rst when this class handles 8+ GPUs well,Yes,No,y,>SATD
init_state_dict sets up an alternative way to cast per-param state tensors.,No,Yes,y,>SATD
alternative way to cast per-param state tensors:,No,Yes,y,>SATD
discarding the iteration;  but probably wouldn't improve overall efficiency.,Yes,Yes,y,>SATD
More efficient version that can be used if .sum() returns a Python scalar,No,Yes,y,>Not SATD
TODO: Update use_edges,Yes,No,y,>SATD
TODO: replace with tf.signal.fftshift,Yes,No,y,>SATD
TODO Change path to v1.1,Yes,No,y,>SATD
offering better performance.,No,No,n,>SATD
The paper demonstrates the performance of MobileNets using `alpha` values of,No,Yes,y,>Not SATD
Fix for passing model to callbacks.ModelCheckpoint,No,Yes,y,>Not SATD
"\""\""\"" || Created on Thu Sep 20 08:42:47 2018 ||  || @author: kentaroy47 || \""\""\""",No,Yes,y,>SATD
TODO: make fast_rcnn irrelevant,Yes,Yes,y,>SATD
TODO: make fast_rcnn irrelevant,Yes,Yes,y,>SATD
fix conv layers,No,No,y,>Not SATD
Fix the layers before Fire5:,Yes,Yes,y,>Not SATD
select the corresponding columns according to roi labels,No,Yes,y,>Not SATD
select the corresponding columns according to roi labels,No,Yes,y,>Not SATD
Fix blocks,No,Yes,y,>Not SATD
Fix blocks,No,Yes,y,>Not SATD
fix conv layers,Yes,No,y,>Not SATD
Fix the layers before Fire5:,Yes,Yes,y,>Not SATD
fix conv layers,No,No,y,>Not SATD
Fix the layers before Fire5:,Yes,Yes,y,>Not SATD
Fix the layers before conv3:,Yes,No,y,>Not SATD
TODO use save_for_backward instead,Yes,Yes,y,>SATD
Testing mode; default to be 'nms'; 'top' is slower but better,No,Yes,y,>Not SATD
implement it using stn,No,Yes,y,>Not SATD
continue to next gt unless better match made,No,No,n,>SATD
RLE is a simple yet efficient format for storing binary masks. RLE,No,Yes,y,>SATD
NOTE3: need to implement a parallel data loader. (no worry),Yes,Yes,y,>Not SATD
max overlap with gt over classes (columns),No,Yes,y,>Not SATD
move to specific gpu.,Yes,Yes,y,>Not SATD
TODO Update nbconvert version when released,Yes,Yes,y,>SATD
TODO Remove when matplotlib 3.04 or 3.1 is released,Yes,No,y,>SATD
TODO Remove when matplotlib 3.04 or 3.1 is released,Yes,No,y,>SATD
"check if there are columns which do not all start with \""Unnamed\""",No,Yes,y,>Not SATD
"check for \""Unnamed*\"" columns and drop them",No,Yes,y,>Not SATD
fix named index for json-converted pandas-dataframe,No,Yes,y,>Not SATD
TODO: read host list from commandline,Yes,Yes,y,>SATD
TODO: read server hostname; port host list and command from commandline,Yes,Yes,y,>SATD
TODO: dirty fast code; refactor,Yes,Yes,y,>SATD
TODO: register TensorHiveManager JSON-RPC API,Yes,Yes,y,>SATD
TODO: read server hostname; port host list and command from commandline,Yes,Yes,y,>SATD
TODO: consider channel limit on the connections,Yes,No,y,>SATD
TODO Add reading command-line arguments with argparse e.g. tensorhive --host localhost --port 1234,Yes,No,y,>SATD
# TODO: read server hostname; port host list and command from commandline,Yes,Yes,n,>SATD
TODO this should be done by some handler (e.g. printing handler),Yes,No,y,>SATD
TODO below,Yes,No,n,>SATD
TODO add argument type,Yes,No,y,>SATD
TODO _mode -> run all commands; specific; or single,Yes,Yes,y,>SATD
TODO specify monitored_client type,Yes,No,y,>SATD
TODO discover\/register methods etc.,Yes,Yes,y,>SATD
FIXME hardcoded for sshconnector from spur,Yes,No,y,>SATD
TODO Add observer design pattern.,Yes,Yes,y,>SATD
FIXME hardcoded SSHConnector,Yes,No,y,>SATD
FIXME Add _,Yes,Yes,y,>SATD
TODO Configure from config or inject,Yes,Yes,y,>SATD
TODO May want to introduce threaded workers; but need to take care of,Yes,Yes,y,>SATD
TODO Add argument validation,Yes,Yes,y,>SATD
FIXME Remove; debug only,Yes,Yes,y,>SATD
FIXME Remove colorama dependency from setup.py,Yes,Yes,y,>SATD
TODO Make config read-only,Yes,Yes,y,>SATD
TODO We want to use DB for it -> more flexibility,Yes,Yes,y,>SATD
TODO should be a singleton!,Yes,Yes,y,>SATD
TODO Catch all errors,Yes,Yes,y,>SATD
TODO Organize dict structure (see how fabric handles this),Yes,Yes,y,>SATD
FIXME Too many simplifications,Yes,Yes,y,>SATD
FIXME not work,Yes,Yes,y,>SATD
TODO created; updated timestamps; role; etc.,Yes,Yes,y,>SATD
# TODO Parse this big response; split into dict,Yes,Yes,y,>SATD
TODO Enable debug mode,Yes,No,y,>SATD
TODO Read settings from config,Yes,No,y,>SATD
TODO Remove dict config and floow APICOnfig; SSHConfig convention,Yes,Yes,y,>SATD
TODO implement,Yes,Yes,n,>SATD
TODO updated_at timestamp; role and more,Yes,Yes,y,>SATD
FIXME SQLAlchemyError is a base class for all other; handle all errors in some way,Yes,Yes,y,>SATD
TODO We may need deserialzer,Yes,No,y,>SATD
count_q = self.statement.with_only_columns([func.count()]).order_by(None),No,No,n,>Not SATD
TODO Add authentication; uniqueness checks,Yes,Yes,y,>SATD
TODO Use kwargs or something; pass whole 'user',Yes,Yes,y,>SATD
TODO Move to config.py,Yes,Yes,y,>SATD
TODO Revert full type annotations for variables as they were (python 3.5 => python 3.6),Yes,Yes,y,>SATD
TODO Relation with user,Yes,Yes,y,>SATD
TODO We may need deserialzer,Yes,No,y,>SATD
FIXME: set log level for the whole app in cli,Yes,Yes,y,>SATD
FIXME: set log level for the whole app in cli,Yes,Yes,y,>SATD
TODO Capture tracebacks from all exceptions with e.g. log.error(),Yes,No,y,>SATD
TODO May want to add file logger,Yes,No,y,>SATD
TODO Enable debug mode,Yes,No,y,>SATD
TODO Read settings from config,Yes,No,y,>SATD
FIXME: set log level for the whole app in cli,Yes,Yes,y,>SATD
TODO Move the logic to controllers,Yes,Yes,y,>SATD
Split line by whitespaces into columns,No,No,n,>Not SATD
TODO Move common to SSHConnectionManager,Yes,Yes,y,>SATD
FIXME Replace with pythonic code :) Author's intentions are unreadable,Yes,Yes,y,>SATD
TODO May want to handle floats also,Yes,Yes,y,>SATD
TODO May want to refactor in the future,Yes,Yes,y,>SATD
FIXME Need to refactor,Yes,Yes,y,>SATD
Unpack every known process and move to the corresponding GPU,No,Yes,y,>SATD
TODO Need to refactor (session shouldn't be used for that purpose; but it's the easiest),Yes,Yes,y,>SATD
FIXME Prints are only visible with `pip install foobar --verbose`,Yes,Yes,y,>SATD
TODO Refactor,Yes,Yes,n,>SATD
TODO May want to add file logger,Yes,No,y,>SATD
TODO Add more monitors here,Yes,No,y,>SATD
TODO Must refactor ProtectionService when new behaviours will be added,Yes,Yes,y,>SATD
TODO May want to add file logger,Yes,No,y,>SATD
TODO others controllers,Yes,Yes,y,>SATD
FIXME Prints are only visible with `pip install foobar --verbose`,Yes,Yes,y,>SATD
TODO May want to add file logger,Yes,No,y,>SATD
FIXME SQLAlchemyError is a base class for all other; handle all errors in some way,Yes,Yes,y,>SATD
Add more here if needed,No,No,n,>Not SATD
FIXME SQLAlchemyError is a base class for all other; handle all errors in some way,Yes,Yes,y,>SATD
FIXME Refactor; use .ini instead,Yes,Yes,y,>SATD
FIXME delete id,Yes,Yes,y,>SATD
FIXME Refactor; use .ini instead,Yes,Yes,y,>SATD
TODO Add color output,Yes,No,y,>SATD
TODO Refactor roles; use only one role: admin (redundancy),Yes,Yes,y,>SATD
TODO Handle failures,Yes,Yes,y,>SATD
TODO Add color output,Yes,No,y,>SATD
TODO Refactor roles; use only one role: admin (redundancy),Yes,Yes,y,>SATD
TODO Handle failures,Yes,Yes,y,>SATD
FIXME Since we use JWT; there's no easy way to revoke tokens of deleted user,Yes,Yes,y,>SATD
TODO Use response mapping; e.g. token.revoke.error: some message,Yes,Yes,y,>SATD
TODO May want to use faker fixture everywhere,Yes,No,y,>SATD
TODO More realistic validation,Yes,Yes,y,>SATD
TODO Refactor; use fixtures,Yes,Yes,y,>SATD
print([m.key for m in Reservation.__table__.columns]),No,Yes,y,>Not SATD
TODO Check time collisions for the same resource,Yes,No,y,>SATD
return cls.query.filter(and_(cls.starts_at <= current_time; current_time <= cls.ends_at)).all(),No,Yes,y,>Not SATD
@validates('starts_at'; 'ends_at'),No,Yes,y,>Not SATD
# TODO Double check,Yes,No,y,>SATD
or_(self.ends_at < Reservation.starts_at; self.starts_at > Reservation.ends_at),No,Yes,y,>Not SATD
# TODO Refactor; use fixtures,Yes,Yes,y,>SATD
ends_at = ends_at.strftime(valid_format)  # type: str,No,No,n,>Not SATD
ends_at = ends_at.strftime(invalid_format)  # type: str,No,No,n,>Not SATD
# TODO May want to use faker fixture everywhere,Yes,No,y,>SATD
TODO Refactor,Yes,Yes,y,>SATD
TODO Include additional message,Yes,Yes,y,>SATD
FIXME It is theoretically posibble that User.get() could also raise this exception,Yes,Yes,y,>SATD
TODO This may need a decent refactor - give more freedom,Yes,No,y,>SATD
TODO Should be wrapped into dict: {'msg': 'OK'; 'info': content},Yes,No,y,>SATD
TODO Theoretically possible that ['GPU'] can trigger this exception,Yes,Yes,y,>SATD
TODO May want to use faker fixture everywhere,Yes,No,y,>SATD
assert target.ends_at; 'Reservation end time is invalid!',No,Yes,y,>Not SATD
TODO Refactor roles: admin or not instead of two mutually exclusive 'admin' and 'user,Yes,Yes,y,>SATD
TODO Refactor roles: admin or not instead of two mutually exclusive 'admin' and 'user,Yes,Yes,y,>SATD
TODO Refactor roles: admin or not instead of two mutually exclusive 'admin' and 'user,Yes,Yes,y,>SATD
TODO Refactor roles: admin or not instead of two mutually exclusive 'admin' and 'user,Yes,Yes,y,>SATD
TODO Add high-level logic,Yes,Yes,y,>SATD
TODO remove indent arg,Yes,Yes,y,>SATD
TODO Add more metrics if necessary,Yes,No,y,>SATD
TODO Non-standard classes must be serialized manually here,Yes,Yes,y,>SATD
# TODO Non-standard classes must be serialized manually here,Yes,Yes,y,>SATD
TODO Move both to utils,Yes,Yes,y,>SATD
TODO May want to rewrite name; index; uuid; etc.,Yes,Yes,y,>SATD
FIXME It warns about summary files; e.g. summary_10.json,Yes,Yes,y,>SATD
# TODO May want to rewrite name; index; uuid; etc.,Yes,Yes,y,>SATD
TODO Refactor,Yes,Yes,y,>SATD
TODO Add more metrics,Yes,No,y,>SATD
FIXME Remove this later,Yes,Yes,y,>SATD
FIXME Temporary solution; refactor,Yes,Yes,y,>SATD
TODO FRIDAY: Admin and intruder get different messages,Yes,No,y,>SATD
FIXME Not sure if this should be required,Yes,Yes,y,>SATD
TODO Refactor these two clunky; redundant methods,Yes,No,y,>SATD
FIXME May want to decouple it somehow,Yes,Yes,y,>SATD
FIXME Prototype functions thats need refactoring and decoupling,Yes,Yes,y,>SATD
FIXME Mock: Received data digested by API controller,Yes,Yes,y,>SATD
FIXME Handle more exceptions (more detailed messages),Yes,Yes,y,>SATD
TODO Log something,Yes,Yes,y,>SATD
FIXME Check exceptions; etc.,Yes,Yes,y,>SATD
FIXME Redesign,Yes,Yes,y,>SATD
FIXME Move,Yes,Yes,y,>SATD
FIXME Display success only with code==0,Yes,No,y,>SATD
TODO Read from config,Yes,Yes,y,>SATD
'pkey': '~\/.ssh\/id_rsa'  # TODO Read from config,Yes,No,n,>SATD
FIXME Mock: Received data digested by API controller,Yes,Yes,y,>SATD
FIXME This endpoint should probably return ORM objects; not pids,Yes,Yes,y,>SATD
TODO Maybe ORM objects should be updated here,Yes,Yes,y,>SATD
FIXME Move to tensorhive.utils,Yes,Yes,y,>SATD
TODO: configure nodes used for authentication,Yes,Yes,y,>SATD
TODO Use me instead of terminate?,Yes,Yes,y,>SATD
TODO print -> logging,Yes,Yes,n,>SATD
FIXME Set unsynchronized status,Yes,Yes,y,>SATD
FIXME Set terminated status,Yes,Yes,y,>SATD
FIXME Handle exceptions etc.,Yes,Yes,y,>SATD
TODO Should sync all?,Yes,Yes,n,>SATD
TODO add new responses to yml,Yes,Yes,y,>SATD
FIXME Unused: screen-specific endpoint,Yes,No,y,>SATD
FIXME Set unsynchronized status,Yes,Yes,y,>SATD
TODO Should sync all?,Yes,Yes,n,>SATD
FIXME Handle exceptions etc.,Yes,Yes,y,>SATD
TODO What if terminate could not connect?,Yes,Yes,y,>SATD
FIXME pop() may theoretically fail (never stumbled upon this issue),Yes,No,y,>SATD
FIXME Remove; won't occur,Yes,Yes,y,>SATD
content = {'msg': 'TODO Mismatche' + str(e)},Yes,No,n,>SATD
TODO proper content; status in every endpoint,Yes,Yes,y,>SATD
TODO 'owner' would be much better name (needs refactoring),Yes,No,y,>SATD
FIXME Handle exceptions etc.,Yes,Yes,y,>SATD
TODO Add @jwt_required,Yes,Yes,n,>SATD
FIXME Remove; won't occur,Yes,Yes,y,>SATD
FIXME Revert @jwt_required,Yes,No,y,>SATD
FIXME Revert @jwt_required,Yes,No,y,>SATD
TODO Disable this endpoint later; return 403 Forbidden,Yes,Yes,y,>SATD
TODO Add security bearer to endpoints in API spec,Yes,Yes,y,>SATD
TODO Check priviliges,Yes,No,y,>SATD
TODO Add descriptions to boring CRUD functions,Yes,Yes,y,>SATD
FIXME Check if task belongs to user! (403; unpriviliged),Yes,Yes,y,>SATD
FIXME Relies on controller (sync; exceptions),Yes,Yes,y,>SATD
TODO Adjust API spec; optional fields,Yes,Yes,y,>SATD
TODO add spawnAt; terminateAt,Yes,Yes,y,>SATD
TODO Move somewhere else,Yes,No,y,>SATD
TODO Maybe wen don't need to synchronize? (but I think we need to terminate task first),Yes,No,y,>SATD
FIXME Convert datetime to string (remember that it can be None),Yes,No,y,>SATD
TODO Adjust API spec; optional fields,Yes,Yes,y,>SATD
TODO What if task is already running: should we allow for updating command; hostname; etc. Currently it should affect only next usess,Yes,Yes,y,>SATD
TODO May want to move it somewhere else,Yes,No,y,>SATD
FIXME This will make sense when all controllers are in one file (like task.py),Yes,No,y,>SATD
start -> start_at; end -> ends_at,No,Yes,y,>Not SATD
TODO Path should be configurable from config files (see config.py),Yes,Yes,y,>SATD
FIXME Remove unnecesary boilerplate (it's here only because of consistency with other services),Yes,Yes,y,>SATD
TODO Try replacing with Task.query.filter,Yes,Yes,y,>SATD
TODO Refactor these two clunky; redundant methods,Yes,No,y,>SATD
TODO Refactor these two clunky; redundant methods,Yes,No,y,>SATD
TODO Assign,Yes,Yes,y,>SATD
start -> starts_at; end -> ends_at,No,Yes,y,>Not SATD
TODO Should be wrapped into dict: {'msg': 'OK'; 'info': content},Yes,No,y,>SATD
TODO Theoretically possible that ['GPU'] can trigger this exception,Yes,Yes,y,>SATD
TODO This may need a decent refactor - give more freedom,Yes,No,y,>SATD
FIXME It is theoretically possible that User.get() could also raise this exception,Yes,Yes,y,>SATD
TODO: configure nodes used for authentication,Yes,Yes,y,>SATD
POST \/restrictions - correct way,No,Yes,y,>Not SATD
POST \/restrictions - another correct way (no end date),No,No,n,>SATD
TODO Adjust API spec; optional fields,Yes,Yes,y,>SATD
TODO delete command segment,Yes,Yes,y,>SATD
"\""\""\""rename columns to match API ||  || Revision ID: e792ab930685 || Revises: 7110c972b137 || Create Date: 2020-11-06 15:45:29.383856 ||  || \""\""\""",No,No,n,>Not SATD
TODO Exceptions should never occur; but need to experiment more,Yes,Yes,y,>SATD
TODO Adjust API spec; optional fields,Yes,Yes,y,>SATD
TODO add spawnAt; terminateAt,Yes,Yes,y,>SATD
POST \/restrictions - correct way,No,Yes,y,>Not SATD
POST \/restrictions - another correct way (no end date),No,No,n,>SATD
TODO Exceptions should never occur; but need to experiment more,Yes,Yes,y,>SATD
TODO Adjust API spec; optional fields,Yes,Yes,y,>SATD
TODO Might want to move dividing algorithm elsewhere,Yes,Yes,y,>SATD
TODO Exceptions should never occur; but need to experiment more,Yes,Yes,y,>SATD
TODO Adjust API spec; optional fields,Yes,Yes,y,>SATD
TODO Exceptions should never occur; but need to experiment more,Yes,Yes,y,>SATD
TODO Adjust API spec; optional fields,Yes,Yes,y,>SATD
FIXME can we vectorize these loops cleanly?,Yes,Yes,y,>SATD
TODO this isn't particularly fast; use GL for drawing and display someday...,Yes,No,y,>SATD
FIXME leaving here as reference for now,Yes,No,y,>SATD
TODO determine how much more of this would be worth performing on the GPU,Yes,Yes,y,>SATD
TODO: error message,Yes,No,y,>SATD
TODO: use precomputed values,Yes,No,y,>SATD
TODO: use precomputed values,Yes,No,y,>SATD
TODO: use precomputed values,Yes,No,y,>SATD
TODO!!,Yes,Yes,y,>SATD
TODO: exception,Yes,Yes,y,>SATD
TODO: norm samples configurable,Yes,Yes,y,>SATD
TODO: norm samples configurable,Yes,Yes,y,>SATD
TODO: throw exception,Yes,Yes,y,>SATD
TODO: norm samples configurable,Yes,Yes,y,>SATD
TODO: norm samples configurable,Yes,Yes,y,>SATD
TODO: other types of fitness,Yes,No,n,>SATD
If true; `todo` and `todoList` produce output; else they produce nothing.,Yes,Yes,y,>SATD
This code is to implement deep fingerprinting model for website fingerprinting attacks,No,No,n,>Not SATD
This code is to implement deep fingerprinting model for website fingerprinting attacks,No,No,n,>Not SATD
DF model used for WTF-PAD dataset,No,Yes,y,>Not SATD
This code is to implement deep fingerprinting model for website fingerprinting attacks,No,No,n,>Not SATD
This code is to implement deep fingerprinting model for website fingerprinting attacks,No,No,n,>Not SATD
This code is to implement deep fingerprinting model for website fingerprinting attacks,No,No,n,>Not SATD
DF model used for WTF-PAD dataset,No,Yes,y,>Not SATD
Load data for WTF-PAD dataset for OW training,No,Yes,y,>Not SATD
fix seed,No,Yes,y,>Not SATD
TODO: Move the below code into torch tensor. ( To make use of GPU ),Yes,No,y,>SATD
Hack for keras. CTC implementation of TF considers (num_classes - 1) as blank,Yes,No,y,>SATD
fix seed,No,Yes,y,>Not SATD
Hack for keras. CTC implementation of TF considers (num_classes - 1) as blank,No,No,n,>SATD
TODO: Port to Python,Yes,Yes,y,>SATD
TODO: strip the last 1 here,Yes,No,y,>SATD
assigns contraction times to each motor unit (moved into loop),No,No,n,>SATD
excitation will never be lower than that needed at rest for a given force,No,No,n,>Not SATD
TODO - Add this in,Yes,Yes,y,>SATD
TODO: I think this should be 1 dimensional,Yes,Yes,y,>SATD
so start with excitation needed for fth(i) when rested (won't be lower than this),No,No,n,>Not SATD
NOTE: SKIPPED - TODO come back to this,Yes,No,n,>SATD
Recruitment Threshold Excitation (thr) for all neurons TODO: rename,Yes,Yes,y,>SATD
Peak Firing Rate (frp) TODO: rename,Yes,No,n,>SATD
TODO: Convert to masked vector operations,Yes,No,y,>SATD
TODO: More vectorizing,Yes,Yes,n,>SATD
TODO: LIKELY EXTREMELY SLOW TO LOOP 100 times over maxact,Yes,Yes,n,>SATD
excitation will never be lower than that needed at rest for a given force,No,No,n,>Not SATD
so start with excitation needed for fth(i) when rested (won't be lower than this),No,No,n,>Not SATD
TODO: This is funky and led to an off-by-one error; rethink how to get this index,Yes,Yes,y,>SATD
TODO: Give temp variables real names,Yes,Yes,y,>SATD
TODO: Super janky fix this,Yes,Yes,y,>SATD
-- Options for todo extension ----------------------------------------------,No,Yes,y,>SATD
If true; `todo` and `todoList` produce output; else they produce nothing.,No,Yes,y,>SATD
TODO - Support variations,Yes,No,y,>SATD
TODO: This is a hack. Maybe memoize vs pre-calculate?,Yes,No,y,>SATD
Maybe https:\/\/docs.python.org\/3\/library\/functools.html#functools.lru_cache,No,No,n,>SATD
TODO - Support variations,Yes,No,n,>SATD
TODO should have non-numeric value if not recruited,Yes,Yes,y,>SATD
TODO: Super janky fix this,Yes,Yes,y,>SATD
TODO: Enable as a recovery mechanism,Yes,No,y,>SATD
Strategy 2 - Uses inverse of fatigue rates in an asymptotic approach,No,No,n,>Not SATD
TODO Implement correct function here,Yes,Yes,y,>SATD
Ensure we're really passing an ndarray to _pool.step(),No,Yes,y,>SATD
and use that instead of running beam search again; if performance in validation is taking a hit,Yes,Yes,y,>Not SATD
A bit of a ugly hack to tie embeddings.,Yes,Yes,y,>SATD
the function to implement the orgnization layer (thanks to github.com\/allanzelener\/YAD2K),No,Yes,y,>Not SATD
sometimes(iaa.ElasticTransformation(alpha=(0.5; 3.5); sigma=0.25)); # move pixels locally around (with random strengths),No,No,n,>SATD
sometimes(iaa.PiecewiseAffine(scale=(0.01; 0.05))) # sometimes move parts of the image around,No,Yes,y,>SATD
XXX Validate this.,Yes,Yes,y,>SATD
Number of columns of the matrix V.,No,Yes,y,>Not SATD
If true; `todo` and `todoList` produce output; else they produce nothing.,No,Yes,y,>SATD
XXX pin memory,No,Yes,y,>SATD
delete unused iterators explicitly,Yes,Yes,y,>Not SATD
TODO: \u0432\u043E\u0437\u0432\u0440\u0430\u0449\u0430\u0442\u044C \u0444\u0430\u043A\u0442\u044B \u0441\u0440\u0430\u0437\u0443 \u043F\u043E \u043C\u0435\u0440\u0435 \u0447\u0442\u0435\u043D\u0438\u044F \u0438\u0437 \u0444\u0430\u0439\u043B\u0430 \u0447\u0435\u0440\u0435\u0437 yield,Yes,Yes,n,>SATD
\u0442\u043E\u043A\u0435\u043D \u043D\u0443\u0436\u043D\u043E \u0443\u043A\u0430\u0437\u0430\u0442\u044C \u0432 \u043A\u043E\u043C\u0430\u043D\u0434\u043D\u043E\u0439 \u0441\u0442\u0440\u043E\u043A\u0435 \u0437\u0430\u043F\u0443\u0441\u043A\u0430 \u0431\u043E\u0442\u0430 \u043E\u043F\u0446\u0438\u0435\u0439 --token XXX,No,Yes,n,>SATD
"''' || \u0413\u0435\u043D\u0435\u0440\u0430\u0446\u0438\u044F \u0441\u0438\u043D\u0442\u0435\u0442\u0438\u0447\u0435\u0441\u043A\u0438\u0445 \u043F\u0430\u0442\u0442\u0435\u0440\u043D\u043E\u0432 \u043F\u043E \u0448\u0430\u0431\u043B\u043E\u043D\u0443 \""\u041C\u0435\u043D\u044F \u0437\u043E\u0432\u0443\u0442 XXX\""+\""\u041A\u0430\u043A \u043C\u0435\u043D\u044F \u0437\u043E\u0432\u0443\u0442\"" || '''",No,Yes,n,>SATD
TODO: \u043F\u0435\u0440\u0435\u0434\u0435\u043B\u0430\u0442\u044C \u043D\u0430 argparse,Yes,No,n,>SATD
TODO argparse,Yes,Yes,y,>SATD
TODO: \u043F\u0435\u0440\u0435\u0434\u0435\u043B\u0430\u0442\u044C \u043D\u0430 argparse,Yes,No,n,>SATD
TODO argparse,Yes,Yes,n,>SATD
TODO ...,Yes,Yes,n,>SATD
todo \u0441\u043E\u0437\u0434\u0430\u043D\u0438\u0435 \u0432\u0445\u043E\u0434\u043D\u044B\u0445 \u0442\u0435\u043D\u0437\u043E\u0440\u043E\u0432 \u0434\u043B\u044F \u043C\u043E\u0434\u0435\u043B\u0438 changeable_words,Yes,No,n,>SATD
TODO: \u0432\u044B\u0431\u043E\u0440 \u043A\u043E\u043D\u043A\u0440\u0435\u0442\u043D\u043E\u0439 \u0440\u0435\u0430\u043B\u0438\u0437\u0430\u0446\u0438\u0438 \u0434\u043B\u044F \u043A\u0430\u0436\u0434\u043E\u0433\u043E \u0442\u0438\u043F\u0430 \u043C\u043E\u0434\u0435\u043B\u0435\u0439 \u0441\u0434\u0435\u043B\u0430\u0442\u044C \u0432\u043D\u0443\u0442\u0440\u0438 \u0431\u0430\u0437\u043E\u0432\u043E\u0433\u043E \u043A\u043B\u0430\u0441\u0441\u0430,Yes,Yes,n,>SATD
fix the learning rate; no decay,Yes,Yes,y,>Not SATD
TODO,Yes,Yes,n,>SATD
TODO,Yes,Yes,n,>SATD
